名前,住所
ひがしんアリーナ（墨田区総合体育館）２階会議室Ａ, 東京都墨田区錦糸4-15-1
すみだ生涯学習センター１階リハーサル室, 東京都墨田区東向島2-38-7
みどりコミュニティセンター２階会議室, 東京都墨田区緑3-7-3
千葉大学墨田サテライトキャンパス１階ＵＤＣすみだ事務室, 東京都墨田区文花1-19-1
江東区役所, 東京都江東区東陽4-11-28
森下文化センター, 東京都江東区森下3-12-17
富岡区民館, 東京都江東区富岡1-16-12
豊洲シビックセンター, 東京都江東区豊洲2-2-18
小松橋区民館, 東京都江東区扇橋2-1-5
カメリアプラザ, 東京都江東区亀戸2-19-1
総合区民センター, 東京都江東区大島4-5-1
砂町区民館, 東京都江東区北砂4-7-3
南砂区民館, 東京都江東区南砂6-8-3
品川区役所第二庁舎, 東京都品川区広町2-1-36
品川第一地域センター, 東京都品川区北品川3-11-16
品川第二地域センター, 東京都品川区南品川5-3-20
大崎第一地域センター, 東京都品川区西五反田3-6-3
大崎第二地域センター, 東京都品川区大崎2-9-4
大井第一地域センター, 東京都品川区南大井1-12-6
大井第二地域センター, 東京都品川区大井2-27-20
大井第三地域センター, 東京都品川区西大井2-10-3
荏原第一地域センター, 東京都品川区小山3-14-1 シティタワー武蔵小山商業施設棟2階
荏原第二地域センター, 東京都品川区荏原6-17-12
荏原第三地域センター, 東京都品川区平塚1-13-18
荏原第四地域センター, 東京都品川区中延5-3-12
荏原第五地域センター, 東京都品川区二葉1-1-2
八潮地域センター, 東京都品川区八潮5-10-27
目黒区総合庁舎　1階　E会議室, 東京都目黒区上目黒2-19-15
中目黒ＧＴプラザホール, 東京都目黒区上目黒2-1-3 地下1階
北部地区サービス事務所, 東京都目黒区大橋1-5-1 クロスエアタワー9階
田道ふれあい館, 東京都目黒区目黒1-25-26
防災センター, 東京都目黒区中央町1-9-7
碑住区センター, 東京都目黒区碑文谷2-16-6
八雲住区センター, 東京都目黒区八雲1-10-5
大田区役所本庁舎, 東京都大田区蒲田5-13-14
大森東特別出張所, 東京都大田区大森南4-9-1
大森西特別出張所, 東京都大田区大森西2-16-2
入新井特別出張所, 東京都大田区大森北1-10-14
馬込特別出張所, 東京都大田区中馬込3-25-5
池上特別出張所, 東京都大田区池上1-29-6
新井宿特別出張所, 東京都大田区中央1-21-6
嶺町特別出張所, 東京都大田区田園調布本町7-1
田園調布特別出張所, 東京都大田区田園調布1-30-1
鵜の木特別出張所, 東京都大田区南久が原2-30-5
久が原特別出張所, 東京都大田区久が原4-12-10
雪谷特別出張所, 東京都大田区東雪谷3-6-2
千束特別出張所, 東京都大田区北千束2-35-8
糀谷特別出張所, 東京都大田区西糀谷2-14-13
羽田特別出張所, 東京都大田区羽田1-18-13
六郷特別出張所, 東京都大田区仲六郷2-44-11
矢口特別出張所, 東京都大田区矢口2-21-14
蒲田西特別出張所, 東京都大田区西蒲田7-12-2
蒲田東特別出張所, 東京都大田区蒲田本町2-1-1
世田谷区役所第２庁舎４階大会議室, 東京都世田谷区世田谷4-22-35
池尻まちづくりセンター２階活動フロアー, 東京都世田谷区池尻3-27-21
太子堂複合施設３階三軒茶屋区民集会所第１会議室, 東京都世田谷区太子堂2-17-1
若林複合施設３階活動フロアー, 東京都世田谷区若林1-34-2
上町まちづくりセンター３階活動フロアーＡ・Ｂ, 東京都世田谷区世田谷1-23-5
経堂出張所１階活動フロアー, 東京都世田谷区宮坂1-44-29
下馬複合施設２階活動フロアー, 東京都世田谷区下馬4-13-4
上馬複合施設２階活動フロアー, 東京都世田谷区上馬4-10-17
梅丘複合施設地下１階活動フロアー, 東京都世田谷区梅丘1-61-16
代沢小学校地下１階活動フロアー, 東京都世田谷区代沢5-1-15
新代田まちづくりセンター２階活動フロアー, 東京都世田谷区羽根木1-6-14
北沢タウンホール４階活動フロアー, 東京都世田谷区北沢2-8-18
松原小学校１階活動フロアー, 東京都世田谷区松原5-43-28
松沢まちづくりセンター３階会議室, 東京都世田谷区赤堤5-31-5
奥沢まちづくりセンター２階活動フロアー, 東京都世田谷区奥沢3-15-7
九品仏複合施設２階活動フロアー, 東京都世田谷区奥沢7-35-4
玉川総合支所２階活動フロアー, 東京都世田谷区等々力3-4-1
上野毛まちづくりセンター２階活動フロアー, 東京都世田谷区中町2-33-11
用賀複合施設３階活動フロアー, 東京都世田谷区用賀2-29-22
二子玉川複合施設３階活動フロアー, 東京都世田谷区玉川4-4-5
深沢まちづくりセンター, 東京都世田谷区駒沢4-33-12
祖師谷まちづくりセンター２階活動フロアー, 東京都世田谷区祖師谷4-1-23
成城六丁目事務所棟１階活動フロアー, 東京都世田谷区成城6-3-10
船橋まちづくりセンター１階活動フロアー１, 東京都世田谷区船橋4-3-2
喜多見複合施設１階活動フロアー, 東京都世田谷区喜多見5-11-10
砧まちづくりセンター１階活動フロアー, 東京都世田谷区砧5-8-18
上北沢まちづくりセンター, 東京都世田谷区上北沢4-32-9
上祖師谷まちづくりセンター, 東京都世田谷区上祖師谷2-7-6
烏山区民センター３階第４会議室, 東京都世田谷区南烏山6-2-19
渋谷区役所, 東京都渋谷区宇田川町1-1
地域交流センター上原, 東京都渋谷区上原1-18-6
幡ヶ谷社会教育館, 東京都渋谷区幡ヶ谷2-50-2
千駄ヶ谷社会教育館, 東京都渋谷区千駄ヶ谷1-6-5
リフレッシュ氷川, 東京都渋谷区東1-26-23
中野区役所, 東京都中野区中野4-11-19
南部すこやか福祉センター, 東京都中野区弥生町5-11-26
東部区民活動センター, 東京都中野区中央2-18-21
江古田区民活動センター, 東京都中野区江原町2-3-15
野方区民活動センター, 東京都中野区野方5-3-1
鷺宮区民活動センター, 東京都中野区鷺宮3-22-5
杉並区役所第４会議室, 東京都杉並区阿佐谷南1-15-1
阿佐谷地域区民センター第４・第５集会室, 東京都杉並区阿佐谷北1-1-1
井草地域区民センター第１・第２集会室, 東京都杉並区下井草5-7-22
永福和泉地域区民センター第２・第３集会室, 東京都杉並区和泉3-8-18
荻窪地域区民センター第１・第２集会室, 東京都杉並区荻窪2-34-20
和田区民集会所第２・第３集会室, 東京都杉並区和田2-31-21
高井戸地域区民センター第１・第２集会室, 東京都杉並区高井戸東3-7-5
西荻地域区民センター第３・第４集会室, 東京都杉並区桃井4-3-2
西荻南区民集会所第１レクリエーション室, 東京都杉並区西荻北1-9-5
旧天沼区民集会所共用会議室, 東京都杉並区天沼3-19-16
コミュニティふらっと方南第１・第２集会室, 東京都杉並区方南1-27-8
久我山会館ホール, 東京都杉並区久我山3-23-20
浜田山会館第１・第２集会室, 東京都杉並区浜田山1-36-3
高円寺北区民集会所第１・第２集会室, 東京都杉並区高円寺北3-25-9
高円寺地域区民センター第９・第10集会室, 東京都杉並区梅里1-22-32
豊島区役所, 東京都豊島区南池袋2-45-1
旧朝日中学校, 東京都豊島区西巣鴨4-9-1
西部区民事務所, 東京都豊島区千早2-39-16
東武百貨店池袋本店, 東京都豊島区西池袋1-1-25
西武池袋本店, 東京都豊島区南池袋1-28-1
北区役所別館２階研修室, 東京都北区王子本町1-11-9
赤羽会館１階ロビー, 東京都北区赤羽南1-13-1
滝野川会館２階コムコムスペース, 東京都北区西ヶ原1-23-3
赤羽北区民センター２階活動室, 東京都北区赤羽北2-25-8-201
田端文士村記念館１階多目的ホール, 東京都北区田端6-1-2
東十条区民センター３階地域振興室会議室, 東京都北区東十条3-2-14
荒川区役所本庁舎１階ロビー, 東京都荒川区荒川2-2-3
南千住駅前ふれあい館洋室１・２, 東京都荒川区南千住7-1-1 アクレスティ南千住
荒川総合スポーツセンター１階 エントランスホール, 東京都荒川区南千住6-45-5
町屋文化センター２階プレイコーナー, 東京都荒川区荒川7-20-1
シルバー人材センター荒川授産場 地下１階会議室, 東京都荒川区東尾久4-32-7
あらかわ遊園スポーツハウス１階会議室, 東京都荒川区西尾久8-3-1
ふらっとにっぽり１階おもてなしスペース, 東京都荒川区東日暮里6-17-6
板橋区役所, 東京都板橋区板橋2-66-1
仲町ふれあいセンター, 東京都板橋区仲町20-5
富士見地域センター, 東京都板橋区富士見町3-1
大谷口地域センター, 東京都板橋区大谷口2-12-5
常盤台地域センター, 東京都板橋区常盤台4-14-1
志村坂上地域センター, 東京都板橋区小豆沢2-19-15
志村健康福祉センター, 東京都板橋区蓮根2-5-5
舟渡ホール, 東京都板橋区舟渡1-14-5
エコポリスセンター, 東京都板橋区前野町4-6-1
赤塚支所, 東京都板橋区赤塚6-38-1
成増アクトホール, 東京都板橋区成増3-11-3
きたのホール, 東京都板橋区徳丸2-12-12
高島平区民館, 東京都板橋区高島平3-12-28
練馬区役所, 東京都練馬区豊玉北6-12-1
石神井庁舎, 東京都練馬区石神井町3-30-26
光が丘区民センター, 東京都練馬区光が丘2-9-6
関区民センター, 東京都練馬区関町北1-7-2
勤労福祉会館, 東京都練馬区東大泉5-40-36
平和台体育館, 東京都練馬区平和台2-12-5
大泉学園町体育館, 東京都練馬区大泉学園町5-14-24
足立区役所, 東京都足立区中央本町1-17-1
シアター１０１０（北千住マルイ１０階）, 東京都足立区千住3-92
竹の塚センター, 東京都足立区竹の塚2-25-17
アリオ西新井, 東京都足立区西新井栄町1-20-1
勤労福祉会館, 東京都足立区綾瀬1-34-7
佐野地域学習センター, 東京都足立区佐野2-43-5
押皿谷住区センター, 東京都足立区鹿浜8-27-15
梅田地域学習センター, 東京都足立区梅田7-33-1
千住庁舎, 東京都足立区千住仲町19-3
鹿浜いきいき館, 東京都足立区鹿浜2-24-2
扇住区センター, 東京都足立区扇1-47-38
舎人地域学習センター, 東京都足立区舎人1-3-26
花畑地域学習センター, 東京都足立区花畑4-16-8
葛飾区役所, 東京都葛飾区立石5-13-1
堀切地区センター, 東京都葛飾区堀切3-8-5
亀有地区センター, 東京都葛飾区亀有3-26-1 リリオ館7階
高砂地区センター, 東京都葛飾区高砂3-1-39
金町地区センター, 東京都葛飾区東金町1-22-1
西水元地区センター, 東京都葛飾区西水元5-3-1-101
新小岩地域活動センター別館（えきにこわ）, 東京都葛飾区新小岩1-45-1
イトーヨーカドー四つ木店 １階, 東京都葛飾区四つ木2-21-1
江戸川区役所, 東京都江戸川区中央1-4-1
小松川区民館, 東京都江戸川区平井4-1-1
葛西区民館, 東京都江戸川区中葛西3-10-1
小岩区民館, 東京都江戸川区東小岩6-9-14
東部区民館, 東京都江戸川区東瑞江1-17-1
鹿骨区民館, 東京都江戸川区鹿骨1-54-2
アリオ葛西, 東京都江戸川区東葛西9-3-3
船堀コミュニティ会館, 東京都江戸川区船堀1-3-1
イオン葛西店, 東京都江戸川区西葛西3-9-19
しのざき文化プラザ, 東京都江戸川区篠崎町7-20-19
八王子市役所本庁舎, 東京都八王子市元本郷町3-24-1
由木事務所, 東京都八王子市下柚木2-10-6
南大沢文化会館, 東京都八王子市南大沢2-27 フレスコ南大沢1階
元八王子事務所, 東京都八王子市大楽寺町419-1
北野事務所, 東京都八王子市北野町549-5
石川事務所, 東京都八王子市石川町481
八王子駅南口総合事務所, 東京都八王子市子安町4-7-1 サザンスカイタワー八王子4階
イーアス高尾, 東京都八王子市東浅川町550-1
立川市役所１０１会議室, 東京都立川市泉町1156-9
窓口サービスセンター多目的スペース, 東京都立川市曙町2-2-27
立川市西砂学習館視聴覚室, 東京都立川市西砂町6-12-10
立川市子ども未来センター地下ギャラリー, 東京都立川市錦町3-2-26
武蔵野市役所西棟１階１１１会議室, 東京都武蔵野市緑町2-2-28
武蔵野商工会館３階消費生活センター講座室, 東京都武蔵野市吉祥寺本町1-10-7
武蔵野プレイス１階ギャラリー, 東京都武蔵野市境南町2-3-18
三鷹市第三庁舎, 東京都三鷹市野崎1-1-1
三鷹駅前コミュニティ・センター, 東京都三鷹市下連雀3-13-10
東多世代交流センター, 東京都三鷹市牟礼2-13-19
青梅市役所２０１・２０２会議室, 東京都青梅市東青梅1-11-1
青梅市中央図書館多目的室, 東京都青梅市河辺町10-8-1
府中市役所おもや１階, 東京都府中市宮西町2-24
市政情報センター（ル・シーニュ５階）, 東京都府中市宮町1-100
東部出張所（白糸台文化センター）, 東京都府中市白糸台1-60
西部出張所（西府文化センター）, 東京都府中市西府町1-60
昭島市役所１階市民ロビー, 東京都昭島市田中町1-17-1
市立福島会館学習室, 東京都昭島市福島町1-19-1
イトーヨーカドー昭島店２階, 東京都昭島市田中町562-1
調布市役所１階めじろホール, 東京都調布市小島町2-35-1
市民プラザあくろす２階 市民活動支援センター, 東京都調布市国領町2-5-15
つつじケ丘児童館ホール, 東京都調布市西つつじヶ丘3-19-1
深大寺地域福祉センター, 東京都調布市深大寺北町2-40-1
町田市庁舎, 東京都町田市森野2-2-22
南市民センター, 東京都町田市金森4-5-6
なるせ駅前市民センター, 東京都町田市南成瀬1-2-5
鶴川市民センター, 東京都町田市大蔵町1981-4
忠生市民センター, 東京都町田市忠生3-14-2
小山市民センター, 東京都町田市小山町2507-1
堺市民センター, 東京都町田市相原町795-1
木曽山崎コミュニティセンター, 東京都町田市山崎町2160-4
南町田会館, 東京都町田市鶴間3-16-1
和光大学ポプリホール鶴川, 東京都町田市能ヶ谷1-2-1
玉川学園コミュニティセンター, 東京都町田市玉川学園2-19-12
小金井市役所第二庁舎６階６０１会議室, 東京都小金井市前原町3-41-15
マロンホール（東小金井駅開設記念会館）, 東京都小金井市東町3-7-21
前原町西之台会館, 東京都小金井市前原町3-8-1
小平市健康センター４階会議室, 東京都小平市学園東町1-19-12
小平市健康センター４階視聴覚室, 東京都小平市学園東町1-19-12
東部市民センター集会室, 東京都小平市花小金井1-8-1
西部市民センター（小川西町公民館ホール）, 東京都小平市小川西町4-10-13
日野市役所１階１０１会議室, 東京都日野市神明1-12-1
七生公会堂１階七生福祉センター, 東京都日野市三沢3-50-1
イオンモール多摩平の森３階イオンホール, 東京都日野市多摩平2-4-1
東村山市役所本庁舎市民ロビー, 東京都東村山市本町1-2-3
東村山駅西口サンパルネ２階 コンベンションホール, 東京都東村山市野口町1-46
国分寺市役所プレハブ会議室第１, 東京都国分寺市戸倉1-6-1
国分寺市ひかりプラザ, 東京都国分寺市光町1-46-8
国分寺市立いずみホール, 東京都国分寺市泉町3-36-12
国分寺市立ｃｏｃｏｂｕｎｊｉプラザ, 東京都国分寺市本町3-1-1 cocobunji WEST5階
国立市役所北庁舎第７会議室, 東京都国立市富士見台2-47-1
くにたち北市民プラザホール, 東京都国立市北3-1-1
くにたち南市民プラザ会議室, 東京都国立市泉2-3-2
くにたち駅前市民プラザ会議室, 東京都国立市北1-14-1
南区公会堂, 東京都国立市泉3-29-11
福生市役所第二棟１階, 東京都福生市本町5
狛江市役所３階第一委員会室, 東京都狛江市和泉本町1-1-5
狛江市役所４階特別会議室, 東京都狛江市和泉本町1-1-5
東大和市役所会議棟１階第１会議室, 東京都東大和市中央3-930
清瀬市役所, 東京都清瀬市中里5-842
清瀬市生涯学習センター, 東京都清瀬市元町1-2-11
東久留米市役所, 東京都東久留米市本町3-3-1
中部地区会館（市役所４階）, 東京都武蔵村山市本町1-1-1
緑が丘出張所, 東京都武蔵村山市緑が丘1460-1104
多摩市役所, 東京都多摩市関戸6-12-1
永山公民館内消費生活センター講座室（べルブ永山３階）, 東京都多摩市永山1-5
関戸公民館　ギャラリー　ヴィータ７階, 東京都多摩市関戸4-72
多摩センター駅出張所（京王多摩センターＳＣ２階）, 東京都多摩市落合1-10-1
地域振興プラザ, 東京都稲城市東長沼2112-1
平尾自治会館, 東京都稲城市平尾3-7-1
ｉプラザギャラリー, 東京都稲城市若葉台2-5-2
羽村市役所分庁舎, 東京都羽村市緑ヶ丘5-1-30
あきる野市役所, 東京都あきる野市二宮350
あきる野市役所五日市出張所, 東京都あきる野市五日市411
西東京市役所田無庁舎２階会議室, 東京都西東京市南町5-6-13
エコプラザ西東京多目的スペース, 東京都西東京市泉町3-12-35
ひばりが丘図書館講座室, 東京都西東京市ひばりが丘1-2-1
瑞穂町役場, 東京都瑞穂町大字箱根ヶ崎2335
武蔵野コミュニティセンター, 東京都瑞穂町むさし野1-5
箱根ケ崎駅東西自由通路, 東京都瑞穂町大字箱根ヶ崎397
日の出町役場町民談話室, 東京都日の出町大字平井2780
檜原村役場３階住民ホール, 東京都檜原村467ｰ1
奥多摩町役場, 東京都奥多摩町氷川215-6
大島町開発総合センター, 東京都大島町元町1-1-14
利島村役場, 東京都利島村248
新島村住民センター, 東京都新島村本村1-1-1
式根島支所, 東京都新島村式根島255-1
若郷会館, 東京都新島村若郷1-4
神津島村役場, 東京都神津島村904
三宅村阿古臨時庁舎, 東京都三宅村阿古497
御蔵島村役場, 東京都御蔵島村字入かねが沢
八丈町役場, 東京都八丈町大賀郷2551-2
青ヶ島村役場, 東京都青ヶ島村無番地
小笠原村役場, 東京都小笠原村父島字西町
小笠原村役場母島支所, 東京都小笠原村母島字元地
